female_ft_2010,male_ft_2010,female_ft_2011,male_ft_2011,female_ft_2012,male_ft_2012,female_ft_2013,male_ft_2013,female_ft_2014,male_ft_2014,female_ft_2015,male_ft_2015,female_ft_2016,male_ft_2016,female_ft_2017,male_ft_2017,female_ft_2018,male_ft_2018,female_ft_2019,male_ft_2019
718.0,1112.0,738.8,1144.2,751.8,1041.2,747.4,1064.9,749.4,1082.3,766.6,1054.2,796.8,1108.3,799.6,1149.9,838.3,1218.4,841.5,1197.8
440.1,573.9,443.0,609.6,505.3,699.7,596.4,689.8,569.1,655.6,471.9,681.0,451.7,672.0,493.2,656.1,517.2,621.2,453.4,641.0
490.3,651.7,538.5,615.6,503.2,642.8,512.8,632.9,498.9,675.1,524.0,655.9,508.5,640.6,542.2,657.7,542.1,624.7,570.7,653.1
466.7,571.7,455.2,554.0,478.8,582.2,489.0,552.6,471.4,602.1,433.2,613.2,488.0,613.0,554.2,599.6,528.2,635.2,558.4,644.8
497.6,523.6,484.7,527.5,494.5,556.3,533.1,555.4,533.0,599.8,527.7,622.5,527.9,605.0,468.7,628.1,481.7,650.4,622.2,694.8
481.2,578.1,458.6,586.4,487.5,597.7,488.7,599.0,523.2,580.1,525.0,600.2,518.5,606.9,525.7,586.8,528.3,630.8,574.9,703.5
619.1,747.6,618.8,754.4,645.2,728.3,632.4,735.8,643.3,729.2,623.0,740.8,629.2,770.6,628.6,785.8,661.4,827.5,698.7,849.9
489.1,574.2,496.2,620.0,488.9,618.3,497.3,655.2,507.3,604.8,513.7,611.8,520.3,643.2,555.5,653.0,585.5,645.6,600.1,715.8
507.5,586.5,481.0,588.5,510.0,632.2,518.8,576.5,514.6,564.7,508.5,594.2,492.7,593.4,502.6,622.7,542.1,607.9,577.9,623.5
489.4,574.9,467.8,553.8,511.2,585.1,505.3,516.0,424.2,539.0,478.9,538.2,479.8,581.9,491.0,615.7,477.9,679.9,479.1,603.4
544.8,638.7,546.6,612.8,555.8,593.9,535.2,607.3,535.7,613.7,552.2,609.5,550.0,589.7,565.8,617.8,575.0,654.0,530.8,662.3
607.7,689.3,611.2,630.3,583.3,653.0,567.0,668.3,565.5,662.0,555.8,585.5,588.6,635.6,611.3,669.6,593.8,672.7,665.9,722.7
584.7,741.4,613.3,739.0,604.2,715.6,594.3,670.3,594.8,683.3,613.3,660.5,614.6,711.4,651.3,714.2,681.3,864.7,625.3,818.5
536.6,570.9,515.1,553.2,538.9,568.7,539.4,580.6,483.3,579.2,540.5,638.0,480.2,603.8,513.7,639.2,500.0,632.4,548.8,622.5
433.7,560.6,412.0,581.6,472.9,539.3,433.9,560.1,467.2,507.5,429.7,599.6,498.3,648.0,496.2,617.7,488.3,653.5,510.4,678.4
503.8,584.4,539.1,587.1,532.1,568.9,576.8,571.3,535.4,537.4,526.8,575.5,569.3,589.7,544.3,586.2,576.2,609.4,646.1,665.7
542.3,672.6,537.7,682.2,542.6,682.4,583.3,711.6,575.9,677.3,585.0,660.1,550.7,658.8,587.0,667.5,570.7,646.6,551.8,721.2
537.2,659.2,526.6,692.8,530.0,626.8,511.8,652.5,556.0,680.2,571.4,714.1,559.3,750.7,597.3,695.0,613.3,728.7,607.9,735.5
