gap_2010,gap_2011,gap_2012,gap_2013,gap_2014,gap_2015,gap_2016,gap_2017,gap_2018,gap_2019
0.354316547,0.354308687,0.277948521,0.298150061,0.307585697,0.272813508,0.281061085,0.304635186,0.311966513,0.297462014
0.233141662,0.273293963,0.277833357,0.135401566,0.131940207,0.307048458,0.327827381,0.248285322,0.167417901,0.292667707
0.247659966,0.125243665,0.21717486,0.189761416,0.260998371,0.201097728,0.206212925,0.175611981,0.132223467,0.126167509
0.18366276,0.17833935,0.177602199,0.115092291,0.217073576,0.293542074,0.203915171,0.075717145,0.168450882,0.133995037
0.049656226,0.081137441,0.111091138,0.040151242,0.111370457,0.152289157,0.127438017,0.253781245,0.259378844,0.104490501
0.167618059,0.217939973,0.184373431,0.184140234,0.098086537,0.125291569,0.145658263,0.104124063,0.162492074,0.182800284
0.17188336,0.179745493,0.114101332,0.140527317,0.117800329,0.159017279,0.183493382,0.200050904,0.200725076,0.177903283
0.1482062,0.199677419,0.209283519,0.240995116,0.161210317,0.160346518,0.191075871,0.149310873,0.093091698,0.161637329
0.134697357,0.182667799,0.193293262,0.10008673,0.088719674,0.144227533,0.169700034,0.192869761,0.108241487,0.073135525
0.148721517,0.155290719,0.126303196,0.020736434,0.212987013,0.110182088,0.175459701,0.202533701,0.297102515,0.205999337
0.147017379,0.108028721,0.064152214,0.118722213,0.127097931,0.094011485,0.067322367,0.084169634,0.120795107,0.198550506
0.118380966,0.03030303,0.106738132,0.151578632,0.145770393,0.050725875,0.073945878,0.087066906,0.117288539,0.078594161
0.211356892,0.170094723,0.155673561,0.113382068,0.129518513,0.071461014,0.136069722,0.088070568,0.212096681,0.236041539
0.060080575,0.068872017,0.052400211,0.070961075,0.165573204,0.152821317,0.204703544,0.196339174,0.209361164,0.118393574
0.226364609,0.291609354,0.123122566,0.225316908,0.079408867,0.28335557,0.231018519,0.196697426,0.252792655,0.247641509
0.137919233,0.081757793,0.064686237,-0.009627166,0.003721623,0.084622068,0.034593861,0.071477311,0.054479816,0.029442692
0.19372584,0.211814717,0.204865182,0.18029792,0.149712092,0.113770641,0.164086217,0.120599251,0.117383235,0.234886301
0.185072816,0.239896074,0.154435227,0.215632184,0.182593355,0.199831956,0.254962035,0.14057554,0.15836421,0.173487424
0.146489454,0.226232509,0.146617041,0.199872854,0.144152944,0.17594327,0.198069964,0.2113127,0.21425995,0.13384298
0.112561983,0.028340081,0.037353434,-0.049113737,0.073578014,0.077051926,0.030173944,0.185968981,0.165923283,0.142256381
0.174960156,0.160132427,0.141243919,0.077603321,0.142661883,0.094187675,0.109968486,0.165676674,0.120830008,0.185894766
0.139397434,0.137489325,0.095666039,0.159532526,0.160242872,0.124754144,0.098822477,0.11335977,0.065255732,0.128907294
0.08673206,0.068051334,0.072804774,-0.00235136,0.055502239,0.143722809,0.066135847,0.17736022,0.094690838,0.074804889
0.17582787,0.096825963,0.041435442,0.051919154,0.031215162,0.13085622,0.061476837,0.173700306,0.1118815,0.083662714
0.161330822,0.152005281,0.08212889,0.107530473,0.12278354,0.122424242,0.206291391,0.248317947,0.205593956,0.128723245
0.241744548,0.189138867,0.188839797,0.249808312,0.285,0.246861925,0.212050078,0.375514729,0.205927703,0.164235891
0.107966779,0.115372574,0.066266039,0.221784578,0.191551911,0.135370512,0.217008374,0.170895751,0.168917916,0.149493829
0.114967462,0.169515468,0.152537723,0.160689844,0.168085691,0.092773438,0.148850343,0.140099139,0.144647905,0.116574245
0.032209456,-0.017988553,-0.010071664,0.137134052,-0.00218601,0.144076655,0.04829083,-0.030275725,0.000355745,0.05528275
0.245010033,0.260303465,0.191388077,0.246674608,0.219806023,0.285958045,0.259966604,0.29217274,0.272744521,0.195366312
-0.015607786,0.109191431,0.193757462,0.147925861,0.099215758,0.139811255,0.166249105,0.227713481,0.323521166,0.163786627
0.13196797,0.040723982,0.174857324,0.176179057,0.181490761,0.193060226,0.179318415,0.20130515,0.090330052,0.032576651
0.204539525,0.221758414,0.209789295,0.18357295,0.164061456,0.175971824,0.152948886,0.180051338,0.167096623,0.189346413
